Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
2023,Hu,al,Wi,16.0,11.0,84.051,0.0,+1 Lap,69.0,31.0,21.762,No rain,1.26,70,3.09,0.0,2
2022,Sa,bo,Al,8.0,15.0,93.979,0.0,DNF,36.0,16.0,22.561,No rain,26.03,53,2.06,0.0,2
2022,Sã,ma,,,,,,DNF,,7.0,30.942,No rain,21.25,86,4.63,0.0,2
2024,Ja,zh,Sa,20.0,18.0,97.16,0.0,DNF,12.0,11.0,26.653,No rain,7.84,72,6.85,0.0,3
2024,Ca,le,Fe,11.0,19.0,86.012,0.0,DNF,40.0,31.0,24.629,No rain,-4.97,57,6.69,0.0,3
2020,Sa,kv,Al,6.0,7.0,,6.0,Finished,87.0,27.0,24.101,No rain,21.05,72,5.45,0.0,2
2021,Sp,la,Wi,19.0,16.0,82.905,0.0,+1 Lap,65.0,9.0,26.672,No rain,9.61,85,3.09,0.0,3
2022,Ba,al,Al,8.0,9.0,96.733,2.0,Finished,57.0,11.0,25.365,No rain,21.05,72,5.45,0.0,2
2024,Sp,ma,,,,,,DNF,,17.0,21.544,No rain,9.61,85,3.09,0.0,1
2021,Az,al,Al,8.0,6.0,105.624,8.0,Finished,51.0,34.0,19.983,Rain,4.97,75,12.35,0.0,2
2023,It,la,Al,12.0,11.0,85.842,0.0,Finished,51.0,13.0,24.212,Rain,5.0,87,0.45,1.0,2
2022,Mi,ke,,,,,,DNF,,12.0,19.760,No rain,22.99,64,8.23,0.0,2
2021,Sã,ts,Al,15.0,15.0,74.20400000000001,0.0,+1 Lap,70.0,6.0,17.758,No rain,21.25,86,4.63,0.0,3
2021,Au,ma,Ha,20.0,19.0,69.757,0.0,+2 Laps,69.0,27.0,,No rain,-2.06,86,1.54,0.0,2
2022,Ja,la,Wi,20.0,9.0,108.37100000000001,2.0,Finished,28.0,2.0,6:47.673,No rain,7.84,72,6.85,0.0,2
2019,Ge,le,Fe,10.0,17.0,87.697,0.0,DNF,27.0,3.0,20.361,No rain,0.22,86,0.0,0.0,2
2021,Me,bo,Me,1.0,15.0,77.774,0.0,+2 Laps,69.0,67.0,26.443,No rain,23.88,23,4.12,0.0,4
2020,Sp,oc,Re,15.0,13.0,82.174,0.0,+1 Lap,65.0,34.0,22.366,No rain,9.61,85,3.09,0.0,1
