Unnamed: 0,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
1070,2019,Au,ku,Wi,20.0,17.0,89.28399999999999,0.0,DNF,55.0,28.0,22.343,No rain,17.76,67,0.89,0.0,3
11204,2024,Ba,bo,Sa,16.0,19.0,96.202,0.0,+1 Lap,56.0,12.0,26.420,No rain,21.05,72,5.45,0.0,2
6784,2021,Un,la,Wi,14.0,15.0,101.818,0.0,+1 Lap,55.0,25.0,23.653,Rain,17.84,85,3.09,0.0,2
2772,2022,Em,ke,,,,,,DNF,,18.0,33.765,Rain,4.34,96,2.91,1.33,1
3392,2023,Ca,oc,Al,6.0,8.0,76.782,4.0,Finished,70.0,12.0,24.402,No rain,-4.97,57,6.69,0.0,2
1099,2019,Br,ku,Wi,20.0,15.0,91.509,0.0,+1 Lap,51.0,20.0,28.694,No rain,4.18,97,2.28,0.0,1
15984,2024,Ba,st,As,12.0,10.0,95.632,1.0,Finished,57.0,27.0,24.545,No rain,21.05,72,5.45,0.0,2
15677,2022,Em,la,Wi,19.0,16.0,81.338,0.0,+1 Lap,62.0,18.0,31.125,Rain,4.34,96,2.91,1.33,1
418,2019,Br,ma,,,,,,DNF,,13.0,27.827,No rain,4.18,97,2.28,0.0,2
12754,2023,Mo,pi,Mc,11.0,10.0,77.513,1.0,+1 Lap,77.0,54.0,25.851,No rain,11.92,73,3.6,0.0,1
5819,2020,Ei,ha,Me,2.0,1.0,88.145,25.0,Finished,60.0,45.0,23.180,No rain,-2.31,93,3.09,0.0,2
11980,2019,Si,ga,To,11.0,8.0,105.769,4.0,Finished,61.0,32.0,32.482,No rain,26.92,87,1.03,0.0,1
10139,2024,La,le,Fe,4.0,4.0,95.674,12.0,Finished,50.0,9.0,21.329,No rain,14.64,31,1.54,0.0,1
16137,2021,Em,ve,As,0.0,15.0,79.074,0.0,DNF,61.0,22.0,39.502,Rain,4.34,96,2.91,1.33,3
13556,2020,Po,la,Wi,20.0,18.0,81.85900000000001,0.0,+2 Laps,64.0,24.0,26.739,No rain,10.33,88,1.9,0.0,1
17979,2021,Po,ve,As,10.0,13.0,82.416,0.0,+1 Lap,65.0,3.0,21.750,No rain,10.33,88,1.9,0.0,2
8400,2022,Mi,al,Wi,18.0,9.0,93.447,2.0,Finished,57.0,16.0,20.059,No rain,22.99,64,8.23,0.0,1
11191,2023,Mo,sa,Wi,16.0,18.0,77.30199999999999,0.0,+2 Laps,76.0,52.0,25.946,No rain,11.92,73,3.6,0.0,3
11106,2021,Po,ha,Me,2.0,1.0,80.93299999999999,25.0,Finished,66.0,3.0,22.164,No rain,10.33,88,1.9,0.0,2
4893,2024,Ja,ts,RB,10.0,10.0,96.342,1.0,+1 Lap,52.0,1.0,26:24.553,No rain,7.84,72,6.85,0.0,2
8720,2020,St,oc,Re,5.0,18.0,69.321,0.0,DNF,25.0,,,No rain,-2.06,86,1.54,0.0,0
8971,2024,Hu,al,As,7.0,11.0,83.063,0.0,Finished,70.0,37.0,21.800,No rain,1.26,70,3.09,0.0,2
722,2022,Au,ma,,,,,,DNF,,13.0,22.022,No rain,-2.06,86,1.54,0.0,2
5176,2022,Au,mi,,,,,,DNF,,14.0,19.039,No rain,17.76,67,0.89,0.0,1
10153,2022,Ja,ts,Al,13.0,13.0,105.893,0.0,Finished,28.0,2.0,6:42.478,No rain,7.84,72,6.85,0.0,2
1860,2019,It,sa,Mc,7.0,20.0,85.637,0.0,DNF,27.0,27.0,27.010,Rain,5.0,87,0.45,1.0,1
16794,2023,Sã,no,Mc,6.0,2.0,72.486,19.0,Finished,71.0,1.0,19.386,No rain,21.25,86,4.63,0.0,2
1687,2020,Br,ha,Me,1.0,1.0,89.238,25.0,Finished,52.0,13.0,28.805,No rain,4.18,97,2.28,0.0,1
8498,2022,Be,oc,Al,16.0,7.0,111.717,6.0,Finished,44.0,12.0,23.511,Rain,-1.91,100,2.57,0.0,1
17346,2024,Mi,ri,RB,20.0,15.0,92.122,0.0,Finished,57.0,28.0,22.540,No rain,22.99,64,8.23,0.0,1
1992,2022,Au,st,As,19.0,12.0,83.592,0.0,Finished,58.0,23.0,20.402,No rain,17.76,67,0.89,0.0,3
13133,2019,Ch,no,Mc,15.0,18.0,98.346,0.0,DNF,50.0,1.0,50.738,No rain,2.99,75,4.0,0.0,3
13352,2023,Si,le,Fe,3.0,4.0,98.275,12.0,Finished,62.0,20.0,32.888,No rain,26.92,87,1.03,0.0,1
11959,2022,Ja,mi,,,,,,DNF,,2.0,6:40.857,No rain,7.84,72,6.85,0.0,1
11490,2020,Ei,ha,Me,2.0,1.0,88.145,25.0,Finished,60.0,16.0,23.983,No rain,-2.31,93,3.09,0.0,2
6117,2020,St,ma,,,,,,DNF,,24.0,20.937,No rain,-2.06,86,1.54,0.0,2
3459,2023,Me,ha,Me,6.0,2.0,81.334,19.0,Finished,71.0,24.0,22.210,No rain,23.88,23,4.12,0.0,2
